,Long,Lat,Model,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,LongitudePoints,LatitudePoints
130,-66.0782595,45.26452884,BioSimMap,6.152899765,9.398770844,26.52343964,889.2908936,23.04781188,-12.56091313,35.44965725,5.162164012,8.943535478,16.66042465,-5.208379682,1198.073327,186.6435229,37.39557834,44.45700957,411.8597688,198.1659531,276.2865087,290.4683127,-66.04,45.25
131,-66.0782595,46.51377431,BioSimMap,4.781891195,11.51198836,27.11202696,1067.606277,25.57912375,-16.99102488,42.61888318,8.11540199,3.039193835,17.47114519,-8.695321839,1188.761509,178.0718721,41.67493978,41.02647298,403.7785369,202.4704914,308.5944091,276.0659544,-66.04,46.55
132,-66.578071,47.59645372,BioSimMap,2.915038894,10.49134015,24.90130355,1097.368246,23.52752369,-18.69012944,42.20143109,9.080547261,-2.803418838,15.96299071,-10.93857364,1125.375268,166.7003563,40.38145591,39.65129829,393.5986373,187.9206268,329.9093085,234.7223935,-66.54,47.57
133,-66.66137292,45.93079309,BioSimMap,5.364474826,11.06673808,26.84845692,1045.773688,25.56102553,-15.78504423,41.35452261,8.597282264,4.82590466,17.73949611,-7.866248584,1149.612473,173.1116642,38.35349241,42.1181736,394.2071537,190.338877,293.723558,263.1376577,-66.62,45.96
134,-66.82797675,45.09796278,BioSimMap,6.222218269,10.3169879,27.68512195,919.1429652,24.15808036,-13.12714733,37.23277981,6.647914775,7.648386532,17.13485215,-5.525020768,1186.292543,184.8068172,37.24391114,44.3077942,413.8145611,195.1524535,281.4121131,276.8290256,-66.85,45.12
135,-66.91127867,50.01166164,BioSimMap,2.044728185,8.701591492,21.90962066,1054.505122,20.54394638,-19.37139588,39.9074233,6.146934296,-4.375367886,14.46026944,-11.49241515,1075.502715,162.0224598,35.91375404,42.65305035,376.996588,171.6087384,280.432574,220.8705314,-66.86,50
136,-67.16118442,48.17943494,BioSimMap,2.682354334,10.6934807,24.80136662,1132.891173,23.59505602,-19.64062491,43.27748489,7.38712328,-1.784919765,15.99508972,-11.68433915,1095.955516,157.7640574,39.32445411,38.87142949,375.8068431,186.3968647,313.9281214,243.7251505,-67.14,48.18
137,-67.32778825,45.18124581,BioSimMap,6.261980278,11.55185409,28.50378906,997.0856308,25.9390242,-14.56317871,40.62281883,7.335149914,6.904519343,18.04809621,-6.326542122,1190.498629,188.7065606,36.38025712,45.47076942,423.0002106,191.2652714,280.6290309,273.3623888,-66.85,45.12
138,-67.32778825,49.42868042,BioSimMap,2.470004698,8.69106887,22.0867992,1037.423755,20.89779989,-18.66762517,39.49376962,6.231979637,-2.685199601,14.7777475,-10.87967323,1039.124549,155.7067545,34.26621951,42.72977192,359.5015222,166.648091,268.8625418,223.0875203,-67.3,49.42
139,-67.41109017,47.84630282,BioSimMap,2.484193034,10.90521033,25.11605937,1140.620108,23.55287831,-20.04392938,43.60054649,7.863851733,-1.695608616,15.90555989,-12.00507699,1118.56522,160.5688047,41.11309421,38.50426427,382.5402117,191.5160227,323.4222892,248.6375479,-67.39,47.86
140,-67.66099592,46.76362341,BioSimMap,3.754347871,10.82522723,25.27860093,1111.306804,24.40006759,-18.52379608,42.91456139,8.877676181,-0.876969327,16.80271128,-10.38126279,1118.654364,169.5732271,39.72656901,41.03418262,390.2647765,188.903396,319.5878396,243.2794424,-67.7,46.77
141,-67.91090167,47.92958585,BioSimMap,2.657432257,10.7268313,24.45479291,1161.954489,23.81579995,-20.18317988,44.06136164,7.135686747,-1.126464849,16.29244942,-12.12305275,1091.974696,158.5162348,39.33510252,38.98127547,374.3867589,185.9665276,311.2660362,242.7437138,-67.91,47.91
142,-70.65986491,45.4310949,BioSimMap,2.748273349,9.066348681,23.05022063,1064.354148,21.38725741,-17.87415235,39.20142076,9.737571892,-3.192152375,15.22185789,-10.57246534,1234.070452,188.1879014,50.67701149,38.31254024,427.9349164,218.6705214,384.6989102,264.0462449,-69.67,43.91
143,-70.90977066,48.34600101,BioSimMap,3.258627406,10.41363079,22.97384923,1210.087185,24.5143648,-20.87373806,45.40195288,13.34321049,-6.233494263,17.22656524,-12.40013794,947.5355195,153.9416861,30.40874798,45.99999177,349.2094887,135.892527,298.2450978,174.995793,-70.87,48.34
