FID	IID	Rivername	Region	Lat	Lon	Dataset
Aurs	Aurs_11_0010_A10	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0011_B10	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0013_D10	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0014_E10	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0015_F10	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0016_G10	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0017_H10	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0019_B11	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0020_C11	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0021_D11	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
BAD	BAD100816SOBAD162D08_E01	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162D10_G01	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E01_H01	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E02_A02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E03_B02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E04_C02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E05_D02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E06_E02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E07_F02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E08_G02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E09_H02	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162E10_A03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162F01_B03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162F02_C03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162F03_D03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162F04_E03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162F07_F01	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
BAD	BAD100816SOBAD162F08_F03	Baddeck	NorthAm	46.1	-60.83888889	May 2021 5700 Recluster
